GENT;278;44021;GENT
KNESSELARE;279;44029;GENT
LOCHRISTI;280;44034;GENT
LOVENDEGEM;281;44036;GENT
MELLE;282;44040;GENT
MERELBEKE;283;44043;GENT
MOERBEKE;284;44045;GENT
NAZARETH;285;44048;GENT
NEVELE;286;44049;GENT
OOSTERZELE;287;44052;GENT
ST-MARTENS-LATEM;288;44064;GENT
WAARSCHOOT;289;44072;GENT
WACHTEBEKE;290;44073;GENT
ZOMERGEM;291;44080;GENT
ZULTE;292;44081;GENT
KRUISHOUTEM;293;45017;OUDENAARDE
OUDENAARDE;294;45035;OUDENAARDE
RONSE;295;45041;OUDENAARDE
ZINGEM;296;45057;OUDENAARDE
BRAKEL;297;45059;OUDENAARDE
KLUISBERGEN;298;45060;OUDENAARDE
WORTEGEM-PETEGEM;299;45061;OUDENAARDE
HOREBEKE;300;45062;OUDENAARDE
LIERDE;301;45063;OUDENAARDE
MAARKEDAL;302;45064;OUDENAARDE
ZWALM;303;45065;OUDENAARDE
BEVEREN;304;46003;ST-NIKLAAS
KRUIBEKE;305;46013;ST-NIKLAAS
LOKEREN;306;46014;ST-NIKLAAS
ST-GILLIS-WAAS;307;46020;ST-NIKLAAS
ST-NIKLAAS;308;46021;ST-NIKLAAS
STEKENE;309;46024;ST-NIKLAAS
TEMSE;310;46025;ST-NIKLAAS
ATH;311;51004;ATH
BELOEIL;312;51008;ATH
BERNISSART;313;51009;ATH
BRUGELETTE;314;51012;ATH
CHIEVRES;315;51014;ATH
ELLEZELLES;316;51017;ATH
FLOBECQ;317;51019;ATH
FRASNES-LEZ-ANVAING;318;51065;ATH
CHAPELLE-LEZ-HERLAIMONT;319;52010;CHARLEROI
CHARLEROI;320;52011;CHARLEROI
CHATELET;321;52012;CHARLEROI
COURCELLES;322;52015;CHARLEROI
FARCIENNES;323;52018;CHARLEROI
FLEURUS;324;52021;CHARLEROI
FONTAINE-L-EVEQUE;325;52022;CHARLEROI
GERPINNES;326;52025;CHARLEROI
MANAGE;327;52043;CHARLEROI
MONTIGNY-LE-TILLEUL;328;52048;CHARLEROI
PONT-A-CELLES;329;52055;CHARLEROI
SENEFFE;330;52063;CHARLEROI
AISEAU-PRESLES;331;52074;CHARLEROI
LES-BONS-VILLERS;332;52075;CHARLEROI
BOUSSU;333;53014;MONS
DOUR;334;53020;MONS
FRAMERIES;335;53028;MONS
HENSIES;336;53039;MONS
JURBISE;337;53044;MONS
LENS;338;53046;MONS
MONS;339;53053;MONS
QUAREGNON;340;53065;MONS
QUIEVRAIN;341;53068;MONS
ST-GHISLAIN;342;53070;MONS
COLFONTAINE;343;53082;MONS
HONNELLES;344;53083;MONS
QUEVY;345;53084;MONS
MOUSCRON;346;54007;MOUSCRON
COMINES-WARNETON;347;54010;MOUSCRON
BRAINE-LE-COMTE;348;55004;SOIGNIES
ENGHIEN;349;55010;SOIGNIES
LA-LOUVIERE;350;55022;SOIGNIES
LESSINES;351;55023;SOIGNIES
LE-ROEULX;352;55035;SOIGNIES
SILLY;353;55039;SOIGNIES
SOIGNIES;354;55040;SOIGNIES
ECAUSSINNES;355;55050;SOIGNIES
ANDERLUES;356;56001;THUIN
BEAUMONT;357;56005;THUIN
BINCHE;358;56011;THUIN
CHIMAY;359;56016;THUIN
ERQUELINNES;360;56022;THUIN
FROIDCHAPELLE;361;56029;THUIN
LOBBES;362;56044;THUIN
MERBES-LE-CHATEAU;363;56049;THUIN
MOMIGNIES;364;56051;THUIN
THUIN;365;56078;THUIN
ESTINNES;366;56085;THUIN
HAM-SUR-HEURE-NALINNES;367;56086;THUIN
MORLANWELZ;368;56087;THUIN
SIVRY-RANCE;369;56088;THUIN
ANTOING;370;57003;TOURNAI
CELLES;371;57018;TOURNAI
ESTAIMPUIS;372;57027;TOURNAI
PECQ;373;57062;TOURNAI
PERUWELZ;374;57064;TOURNAI
RUMES;375;57072;TOURNAI
TOURNAI;376;57081;TOURNAI
BRUNEHAUT;377;57093;TOURNAI
LEUZE-EN-HAINAUT;378;57094;TOURNAI
MONT-DE-L-ENCLUS;379;57095;TOURNAI
AMAY;380;61003;HUY
BURDINNE;381;61010;HUY
CLAVIER;382;61012;HUY
FERRIERES;383;61019;HUY
HAMOIR;384;61024;HUY
HERON;385;61028;HUY
HUY;386;61031;HUY
MARCHIN;387;61039;HUY
MODAVE;388;61041;HUY
NANDRIN;389;61043;HUY
OUFFET;390;61048;HUY
VERLAINE;391;61063;HUY
VILLERS-LE-BOUILLET;392;61068;HUY
WANZE;393;61072;HUY
ANTHISNES;394;61079;HUY
ENGIS;395;61080;HUY
TINLOT;396;61081;HUY
ANS;397;62003;LIEGE
AWANS;398;62006;LIEGE
AYWAILLE;399;62009;LIEGE
BASSENGE;400;62011;LIEGE
BEYNE-HEUSAY;401;62015;LIEGE
CHAUDFONTAINE;402;62022;LIEGE
COMBLAIN-AU-PONT;403;62026;LIEGE
DALHEM;404;62027;LIEGE
ESNEUX;405;62032;LIEGE
FLERON;406;62038;LIEGE
HERSTAL;407;62051;LIEGE
JUPRELLE;408;62060;LIEGE
LIEGE;409;62063;LIEGE
OUPEYE;410;62079;LIEGE
ST-NICOLAS;411;62093;LIEGE
SERAING;412;62096;LIEGE
SOUMAGNE;413;62099;LIEGE
SPRIMONT;414;62100;LIEGE
VISE;415;62108;LIEGE
GRACE-HOLLOGNE;416;62118;LIEGE
BLEGNY;417;62119;LIEGE
FLEMALLE;418;62120;LIEGE
NEUPRE;419;62121;LIEGE
TROOZ;420;62122;LIEGE
AMBLEVE;421;63001;VERVIERS
AUBEL;422;63003;VERVIERS
BAELEN;423;63004;VERVIERS
BULLANGE;424;63012;VERVIERS
BUTGENBACH;425;63013;VERVIERS
DISON;426;63020;VERVIERS
EUPEN;427;63023;VERVIERS
HERVE;428;63035;VERVIERS
JALHAY;429;63038;VERVIERS
LA-CALAMINE;430;63040;VERVIERS
LIERNEUX;431;63045;VERVIERS
LIMBOURG;432;63046;VERVIERS
LONTZEN;433;63048;VERVIERS
MALMEDY;434;63049;VERVIERS
OLNE;435;63057;VERVIERS
PEPINSTER;436;63058;VERVIERS
RAEREN;437;63061;VERVIERS
ST-VITH;438;63067;VERVIERS
SPA;439;63072;VERVIERS
STAVELOT;440;63073;VERVIERS
STOUMONT;441;63075;VERVIERS
THEUX;442;63076;VERVIERS
VERVIERS;443;63079;VERVIERS
WAISMES;444;63080;VERVIERS
WELKENRAEDT;445;63084;VERVIERS
TROIS-PONTS;446;63086;VERVIERS
BURG-REULAND;447;63087;VERVIERS
PLOMBIERES;448;63088;VERVIERS
THIMISTER-CLERMONT;449;63089;VERVIERS
BERLOZ;450;64008;WAREMME
BRAIVES;451;64015;WAREMME
CRISNEE;452;64021;WAREMME
DONCEEL;453;64023;WAREMME
FEXHE-LE-HAUT-CLOCHER;454;64025;WAREMME
GEER;455;64029;WAREMME
HANNUT;456;64034;WAREMME
LINCENT;457;64047;WAREMME
OREYE;458;64056;WAREMME
REMICOURT;459;64063;WAREMME
ST-GEORGES-SUR-MEUSE;460;64065;WAREMME
WAREMME;461;64074;WAREMME
WASSEIGES;462;64075;WAREMME
FAIMES;463;64076;WAREMME
AS;464;71002;HASSELT
BERINGEN;465;71004;HASSELT
DIEPENBEEK;466;71011;HASSELT
GENK;467;71016;HASSELT
GINGELOM;468;71017;HASSELT
HALEN;469;71020;HASSELT
HASSELT;470;71022;HASSELT
HERK-DE-STAD;471;71024;HASSELT
LEOPOLDSBURG;472;71034;HASSELT
LUMMEN;473;71037;HASSELT
NIEUWERKERKEN;474;71045;HASSELT
OPGLABBEEK;475;71047;HASSELT
ST-TRUIDEN;476;71053;HASSELT
TESSENDERLO;477;71057;HASSELT
ZONHOVEN;478;71066;HASSELT
ZUTENDAAL;479;71067;HASSELT
HAM;480;71069;HASSELT
HEUSDEN-ZOLDER;481;71070;HASSELT
BOCHOLT;482;72003;MAASEIK
BREE;483;72004;MAASEIK
KINROOI;484;72018;MAASEIK
LOMMEL;485;72020;MAASEIK
MAASEIK;486;72021;MAASEIK
NEERPELT;487;72025;MAASEIK
OVERPELT;488;72029;MAASEIK
PEER;489;72030;MAASEIK
HAMONT-ACHEL;490;72037;MAASEIK
HECHTEL-EKSEL;491;72038;MAASEIK
HOUTHALEN-HELCHTEREN;492;72039;MAASEIK
MEEUWEN-GRUITRODE;493;72040;MAASEIK
DILSEN-STOKKEM;494;72041;MAASEIK
ALKEN;495;73001;TONGEREN
BILZEN;496;73006;TONGEREN
BORGLOON;497;73009;TONGEREN
HEERS;498;73022;TONGEREN
HERSTAPPE;499;73028;TONGEREN
HOESELT;500;73032;TONGEREN
KORTESSEM;501;73040;TONGEREN
LANAKEN;502;73042;TONGEREN
RIEMST;503;73066;TONGEREN
TONGEREN;504;73083;TONGEREN
WELLEN;505;73098;TONGEREN
MAASMECHELEN;506;73107;TONGEREN
VOEREN;507;73109;TONGEREN
ARLON;508;81001;ARLON
ATTERT;509;81003;ARLON
AUBANGE;510;81004;ARLON
MARTELANGE;511;81013;ARLON
MESSANCY;512;81015;ARLON
BASTOGNE;513;82003;BASTOGNE
BERTOGNE;514;82005;BASTOGNE
FAUVILLERS;515;82009;BASTOGNE
HOUFFALIZE;516;82014;BASTOGNE
VIELSALM;517;82032;BASTOGNE
VAUX-SUR-SURE;518;82036;BASTOGNE
GOUVY;519;82037;BASTOGNE
STE-ODE;520;82038;BASTOGNE
DURBUY;521;83012;MARCHE-EN-FAMENNE
EREZEE;522;83013;MARCHE-EN-FAMENNE
HOTTON;523;83028;MARCHE-EN-FAMENNE
LA-ROCHE-EN-ARDENNE;524;83031;MARCHE-EN-FAMENNE
MARCHE-EN-FAMENNE;525;83034;MARCHE-EN-FAMENNE
NASSOGNE;526;83040;MARCHE-EN-FAMENNE
RENDEUX;527;83044;MARCHE-EN-FAMENNE
TENNEVILLE;528;83049;MARCHE-EN-FAMENNE
MANHAY;529;83055;MARCHE-EN-FAMENNE
BERTRIX;530;84009;NEUFCHATEAU
BOUILLON;531;84010;NEUFCHATEAU
DAVERDISSE;532;84016;NEUFCHATEAU
HERBEUMONT;533;84029;NEUFCHATEAU
LEGLISE;534;84033;NEUFCHATEAU
LIBIN;535;84035;NEUFCHATEAU
NEUFCHATEAU;536;84043;NEUFCHATEAU
PALISEUL;537;84050;NEUFCHATEAU
ST-HUBERT;538;84059;NEUFCHATEAU
TELLIN;539;84068;NEUFCHATEAU
WELLIN;540;84075;NEUFCHATEAU
LIBRAMONT-CHEVIGNY;541;84077;NEUFCHATEAU
CHINY;542;85007;VIRTON
ETALLE;543;85009;VIRTON
FLORENVILLE;544;85011;VIRTON
MEIX-DEVANT-VIRTON;545;85024;VIRTON
MUSSON;546;85026;VIRTON
ST-LEGER;547;85034;VIRTON
TINTIGNY;548;85039;VIRTON
VIRTON;549;85045;VIRTON
HABAY;550;85046;VIRTON
ROUVROY;551;85047;VIRTON
ANHEE;552;91005;DINANT
BEAURAING;553;91013;DINANT
BIEVRE;554;91015;DINANT
CINEY;555;91030;DINANT
DINANT;556;91034;DINANT
GEDINNE;557;91054;DINANT
HAMOIS;558;91059;DINANT
HAVELANGE;559;91064;DINANT
HOUYET;560;91072;DINANT
ONHAYE;561;91103;DINANT
ROCHEFORT;562;91114;DINANT
SOMME-LEUZE;563;91120;DINANT
YVOIR;564;91141;DINANT
HASTIERE;565;91142;DINANT
VRESSE-SUR-SEMOIS;566;91143;DINANT
ANDENNE;567;92003;NAMUR
ASSESSE;568;92006;NAMUR
EGHEZEE;569;92035;NAMUR
FLOREFFE;570;92045;NAMUR
FOSSES-LA-VILLE;571;92048;NAMUR
GESVES;572;92054;NAMUR
METTET;573;92087;NAMUR
NAMUR;574;92094;NAMUR
OHEY;575;92097;NAMUR
PROFONDEVILLE;576;92101;NAMUR
SOMBREFFE;577;92114;NAMUR
SAMBREVILLE;578;92137;NAMUR
FERNELMONT;579;92138;NAMUR
JEMEPPE-SUR-SAMBRE;580;92140;NAMUR
LA-BRUYERE;581;92141;NAMUR
GEMBLOUX;582;92142;NAMUR
CERFONTAINE;583;93010;PHILIPPEVILLE
COUVIN;584;93014;PHILIPPEVILLE
DOISCHE;585;93018;PHILIPPEVILLE
FLORENNES;586;93022;PHILIPPEVILLE
PHILIPPEVILLE;587;93056;PHILIPPEVILLE
WALCOURT;588;93088;PHILIPPEVILLE
VIROINVAL;589;93090;PHILIPPEVILLE
